Nom du produit;Référence etb  ;Référence fournisseur;Sites sur lequel on le trouve;Catégorie;Sous catégorie;Sous-sous-catégorie;Marque;Descriptif;Informations;Conditionnement;Nb par conditionnement;Teinte;Temps de polymérisation/prise;Taille;Longueur;Largeur;Diamètre;Conicité;type_dispo;Torque;Lien Photo;GACD;PROMODENTAIRE;EDD;MEGADENTAL;Lien GACD;Lien Promodentaire;Lien EDD;Lien Megadental
Filtek Z500;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Obturation;Composite;3M ESPE;Composite universel nano-chargé;;Seringue;1;A2;20;;;;;;Photo;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/3/8/38779_2.jpg;42,9;45,9;35,89;42,35;https://www.gacd.fr/article-3003165-filtek-z500-la-seringue-de-3-g.html#309=2256;https://www.promodentaire.com/filtek-z500-seringue-3g.html;https://eddonline.fr/product/0357344/filtek-z500-seringue-8020a2;https://www.megadental.fr/3m-filtek-z500-seringue-capsules.html
Filtek Z500;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Obturation;Composite;3M ESPE;Composite universel nano-chargé;;Capsules;20;A3;20;;;;;;Photo;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/3/8/38792_2.jpg;59,9;65;49,9;55,85;https://www.gacd.fr/filtek-z500-capsules-teinte-a3-20x0-2g.html;https://www.promodentaire.com/filtek-z500-capsules-20x0-2g.html;https://eddonline.fr/product/0357376/filtek-z500-capsules-8021a3;https://www.megadental.fr/3m-filtek-z500-seringue-capsules.html
Filtek Z500;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Obturation;Composite;3M ESPE;Composite universel nano-chargé;;Capsules;20;A4;20;;;;;;Photo;;;59,9;65;49,9;55,85;https://www.gacd.fr/filtek-z500-capsules-teinte-a4-20x0-2g.html;https://www.promodentaire.com/filtek-z500-capsules-20x0-2g.html;https://eddonline.fr/product/0357380/filtek-z500-capsules-8021a4;https://www.megadental.fr/3m-filtek-z500-seringue-capsules.html
Filtek Z250;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Obturation;Composite;3M ESPE;Composite universel micro-chargé;;Seringue;1;A2;40;;;;;;Photo;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/3/8/38238_1.jpg;87,4;78,5;64,9;79,85;https://www.gacd.fr/filtek-z250-seringue-teinte-a2-4g.html;https://www.promodentaire.com/filtek-z250-seringue-4g.html;https://eddonline.fr/product/0357120/filtek-z250-seringue-6020a2;https://www.megadental.fr/3m-filtek-z250-seringues-capsules.html
Filtek Z250;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Obturation;Composite;3M ESPE;Composite universel micro-chargé;;Capsules;20;A3;40;;;;;;Photo;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/3/8/38270_2.jpg;87,4;78,5;64,9;79,85;https://www.gacd.fr/filtek-z250-capsules-teinte-a3-20x0-2g.html;https://www.promodentaire.com/filtek-z250-capsules-20x0-2g.html;https://eddonline.fr/product/0357225/filtek-z250-capsules-6021a3;https://www.megadental.fr/3m-filtek-z250-seringues-capsules.html
Filtek Z250;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Obturation;Composite;3M ESPE;Composite universel micro-chargé;;Capsules;20;A4;40;;;;;;Photo;;;87,4;78,5;64,9;79,85;https://www.gacd.fr/filtek-z250-capsules-teinte-a4-20x0-2g.html;https://www.promodentaire.com/filtek-z250-capsules-20x0-2g.html;https://eddonline.fr/product/0357235/filtek-z250-capsules-6021a4 page=2;https://www.megadental.fr/3m-filtek-z250-seringues-capsules.html
Clearfil Majesty ES-2;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Obturation;Composite;Kuraray;Composite universel nano-hybride;;Seringue;1;A2;20;;;;;;Photo;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/3/6/36211_2_1.jpg;62,5;59,9;42,49;62,6;https://www.gacd.fr/clearfil-majesty-esth-2-ser-teinte-a2-3-6g.html;https://www.promodentaire.com/filtek-z250-capsules-20x0-2g.html;https://eddonline.fr/product/0363504/clearfil-majesty-es-2-classic-seringue-a2 page=3;https://www.megadental.fr/clearfil-majesty-es-2-seringues-classic-premium-kuraray.html
Clearfil Majesty ES-2;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Obturation;Composite;Kuraray;Composite universel nano-hybride;;Capsules;10;A3;20;;;;;;Photo;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/3/6/36244_2_1.jpg;33,4;35,79;29,94;33,5;https://www.gacd.fr/clearfil-majesty-esth-2-plt-a3.html;https://www.promodentaire.com/clearfil-majesty-esth-2-plt-10x0-25g.html;https://eddonline.fr/product/0363556/clearfil-majesty-es-2-classic-plt-a3 page=4;https://www.megadental.fr/clearfil-majesty-es-2-compules-premium-classic-kuraray.html
Clearfil Majesty ES-2;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Obturation;Composite;Kuraray;Composite universel nano-hybride;;Capsules;10;A4;20;;;;;;Photo;;;33,4;35,79;29,94;33,5;https://www.gacd.fr/clearfil-majesty-esth-2-plt-a4.html;https://www.promodentaire.com/clearfil-majesty-esth-2-plt-10x0-25g.html;https://eddonline.fr/product/0363560/clearfil-majesty-es-2-classic-plt-a4 page=4;https://www.megadental.fr/clearfil-majesty-es-2-compules-premium-classic-kuraray.html
Fuji I;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Prothèse;Ciment de scellement définitif;GC;Ciment de scellement définitif CVI se mélangeant poudre/liquide;;Poudre/Liquide;;A3;Chemo;;;;;;CVI;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/7/2/72360_1.jpg;95,9;112,9;85,9;95,85;https://www.gacd.fr/article-2002140-fuji-i.html;https://www.promodentaire.com/fuji-i-coffret-poudre-liquide.html;https://eddonline.fr/product/0295615/fuji-i;https://www.megadental.fr/fuji-i-gc.html
Fuji I;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Prothèse;Ciment de scellement définitif;GC;Ciment de scellement définitif CVI se présentant sous forme d'une capsule pré-dosée;;Capsules x50;;A3;Chemo;;;;;;CVI;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/7/2/72359_1.jpg;95,9;113,4;94,9;95,85;https://www.gacd.fr/article-2002139-fuji-i.html;https://www.promodentaire.com/fuji-i-capsules-50.html;https://eddonline.fr/product/0295630/fuji-i-capsules-ly;https://www.megadental.fr/fuji-i-gc.html
